Timestamp,GRT,ship loa,power,Vehicle,wspd,wdir,Sensor_Temp,Sensor_Humidity,avg_CO2,CO2_1D1CF5,CO2_1D8BC5,CO2_1D92BC,CO2_1D95D8,CO2_18E141
01/01/2023 00:00,0,0,0,932,9.8,222.8333333,15.6,71.05,392.7073007,393.5125811,396.2121798,398.9607618,384.2894419,390.5615389
01/01/2023 01:00,0,0,0,1038,8.983333333,224.6666667,15.15,68.95,392.4073007,391.7625811,396.7121798,395.9607618,381.0394419,396.5615389
01/01/2023 02:00,0,0,0,809,8.05,225.3333333,14.8,69.1,391.6573007,393.0125811,399.7121798,391.2107618,381.7894419,392.5615389
01/01/2023 03:00,0,0,0,630,7.033333333,217,14.8,70,392.2073007,383.2625811,401.7121798,403.2107618,386.2894419,386.5615389
01/01/2023 04:00,0,0,0,403,7.983333333,216.8333333,14.6,70.6,393.7573007,392.2625811,397.7121798,402.7107618,388.5394419,387.5615389
01/01/2023 05:00,0,0,0,357,7.216666667,216.1666667,14.85,71.05,395.3073007,400.2625811,395.2121798,398.9607618,386.0394419,396.0615389
01/01/2023 06:00,0,0,0,418,8.05,215.5,14.85,70.9,394.4073007,399.0125811,393.2121798,400.7107618,385.5394419,393.5615389
01/01/2023 07:00,0,0,0,545,6.816666667,216.5,14.55,71,393.9073007,395.7625811,397.2121798,399.4607618,386.0394419,391.0615389
01/01/2023 08:00,0,0,0,686,6.716666667,211.5,14.4,71.55,396.6573007,406.2625811,399.7121798,400.2107618,386.5394419,390.5615389
01/01/2023 09:00,0,0,0,1089,5.933333333,204.8333333,14.8,71.4,392.9573007,395.2625811,402.2121798,395.2107618,387.0394419,385.0615389
01/01/2023 10:00,0,0,0,1745,6.216666667,212.5,15.45,70.2,395.5073007,402.0125811,397.7121798,398.4607618,387.2894419,392.0615389
01/01/2023 11:00,1689,75,1286,2580,4.783333333,200.6666667,15.6,70.05,396.5573007,396.0125811,393.7121798,404.9607618,395.0394419,393.0615389
01/01/2023 12:00,1689,75,1286,3100,5.1,190.6666667,15.6,70.3,394.8073007,398.2625811,395.7121798,403.4607618,390.5394419,386.0615389
01/01/2023 13:00,1689,75,1286,3643,4.766666667,191.6666667,15.6,70.2,394.6573007,399.7625811,394.2121798,404.9607618,381.7894419,392.5615389
01/01/2023 14:00,1689,75,1286,3243,3.766666667,183.8333333,15.6,70.55,396.8573007,400.7625811,404.7121798,404.2107618,382.5394419,392.0615389
01/01/2023 15:00,1689,75,1286,3016,4.866666667,192.5,15.2,69.95,392.5573007,399.7625811,395.7121798,401.4607618,378.7894419,387.0615389
01/01/2023 16:00,1689,75,1286,2837,3.683333333,196.5,14.4,70.95,396.4073007,405.2625811,397.7121798,406.9607618,384.0394419,388.0615389
01/01/2023 17:00,1689,75,1286,3431,2.933333333,230.5,13.25,72.5,395.7073007,411.7625811,401.2121798,408.9607618,379.5394419,377.0615389
01/01/2023 18:00,1689,75,1286,1931,1.283333333,270,12.6,74.05,396.5573007,413.2625811,404.2121798,402.4607618,381.2894419,381.5615389
01/01/2023 19:00,1689,75,1286,1544,2.2,279.1666667,11.9,74.5,398.8073007,411.0125811,409.2121798,407.4607618,382.7894419,383.5615389
01/01/2023 20:00,1689,75,1286,1022,2,309.8333333,11.8,75,401.4073007,418.0125811,407.2121798,408.7107618,387.5394419,385.5615389
01/01/2023 21:00,1689,75,1286,831,1.366666667,297.6666667,11.6,75.15,402.3073007,419.7625811,412.7121798,404.7107618,388.7894419,385.5615389
01/01/2023 22:00,1689,75,1286,627,1.083333333,236.6666667,11.6,75.05,402.4573007,421.5125811,417.2121798,400.2107618,389.2894419,384.0615389
01/01/2023 23:00,1689,75,1286,493,1.783333333,208.6666667,11.35,75.45,403.1573007,426.7625811,419.2121798,399.2107618,389.5394419,381.0615389
02/01/2023 00:00,1689,75,1286,284,2.6,201.8333333,11.6,75.45,402.5073007,427.7625811,418.2121798,397.7107618,388.7894419,380.0615389
02/01/2023 01:00,1689,75,1286,160,3,205.3333333,11.5,75.7,403.4073007,425.2625811,417.7121798,401.9607618,389.0394419,383.0615389
02/01/2023 02:00,1689,75,1286,101,3.066666667,210.1666667,11.85,75.65,402.4573007,422.5125811,410.7121798,400.9607618,390.5394419,387.5615389
02/01/2023 03:00,1689,75,1286,91,4,216.5,12.5,73.55,402.3573007,416.2625811,407.2121798,404.9607618,393.7894419,389.5615389
02/01/2023 04:00,1689,75,1286,135,3.666666667,203,12.3,72.1,398.4573007,411.2625811,408.2121798,398.2107618,390.5394419,384.0615389
02/01/2023 05:00,1689,75,1286,309,3.666666667,209.5,12.15,72.75,399.1073007,410.7625811,408.7121798,398.7107618,392.2894419,385.0615389
02/01/2023 06:00,3378,150,2572,564,2.783333333,218.6666667,12,73.55,403.8073007,415.5125811,417.7121798,406.4607618,393.2894419,386.0615389
02/01/2023 07:00,1689,75,1286,760,2.883333333,248,11.45,73.85,404.8573007,421.5125811,423.2121798,404.2107618,392.2894419,383.0615389
02/01/2023 08:00,1689,75,1286,1204,2.65,263.1666667,11.15,73.6,404.2573007,417.0125811,428.2121798,400.2107618,395.2894419,380.5615389
02/01/2023 09:00,4234,163.6,3486,1996,3.083333333,251.6666667,11.4,72.4,408.1573007,422.2625811,426.7121798,405.7107618,397.0394419,389.0615389
02/01/2023 10:00,4234,163.6,3486,3113,3.9,251.3333333,13,68.75,403.2573007,403.2625811,418.7121798,407.9607618,397.2894419,389.0615389
02/01/2023 11:00,4234,163.6,3486,4109,3.833333333,261.6666667,13.8,67,401.5573007,392.2625811,421.2121798,412.4607618,394.7894419,387.0615389
02/01/2023 12:00,4234,163.6,3486,4488,3.033333333,272.3333333,13.75,66.05,402.0573007,394.5125811,413.7121798,412.2107618,394.7894419,395.0615389
02/01/2023 13:00,31775,325,21246,4605,3.05,271.5,12.65,66.15,402.5073007,398.0125811,415.2121798,409.2107618,399.0394419,391.0615389
02/01/2023 14:00,31775,325,21246,4552,3.433333333,278.8333333,14.5,60.75,405.0073007,396.0125811,416.2121798,410.4607618,396.7894419,405.5615389
02/01/2023 15:00,31775,325,21246,4401,2.033333333,268.1666667,13.65,60.2,401.9573007,398.2625811,413.7121798,406.7107618,393.0394419,398.0615389
02/01/2023 16:00,46097,378.1,28686,4204,1.6,224.1666667,11.35,63.7,397.2573007,395.5125811,410.2121798,400.9607618,389.5394419,390.0615389
02/01/2023 17:00,46097,378.1,28686,3363,0.7,188.1666667,10,67.65,421.9073007,414.2625811,446.7121798,443.2107618,411.2894419,394.0615389
02/01/2023 18:00,46097,378.1,28686,2383,0.95,124.1666667,9.45,69.5,450.6573007,444.0125811,470.2121798,483.9607618,446.5394419,408.5615389
02/01/2023 19:00,46097,378.1,28686,2013,1.533333333,76.33333333,9.05,70.9,503.8073007,516.5125811,540.2121798,522.9607618,497.7894419,441.5615389
02/01/2023 20:00,46097,378.1,28686,1463,2.333333333,73,8.85,72.55,462.9573007,477.0125811,474.7121798,470.7107618,449.2894419,443.0615389
02/01/2023 21:00,66006,453.1,29972,1214,2.1,69.16666667,9.85,73.05,439.2073007,455.0125811,455.2121798,441.9607618,426.2894419,417.5615389
02/01/2023 22:00,51922,330.6,27486,852,2.6,67.66666667,9.95,73.15,424.7073007,434.2625811,444.7121798,425.9607618,415.0394419,403.5615389
02/01/2023 23:00,53611,405.6,28772,487,1.95,92.16666667,10.4,74.55,424.3073007,439.0125811,444.2121798,424.2107618,406.0394419,408.0615389
03/01/2023 00:00,4234,163.6,3486,304,2.166666667,211.5,11.45,75.3,414.9073007,430.0125811,428.7121798,421.7107618,402.0394419,392.0615389
03/01/2023 01:00,4234,163.6,3486,150,2.316666667,184.3333333,11.6,75.35,405.7073007,429.2625811,413.7121798,404.7107618,391.2894419,389.5615389
03/01/2023 02:00,4234,163.6,3486,134,1.7,171.1666667,11.8,75.9,408.5573007,427.5125811,420.2121798,406.2107618,398.7894419,390.0615389
03/01/2023 03:00,4234,163.6,3486,132,3.033333333,196.8333333,12.2,76.25,410.5573007,430.7625811,421.2121798,408.4607618,395.2894419,397.0615389
03/01/2023 04:00,4234,163.6,3486,290,3.033333333,198,12.2,76,408.5573007,430.5125811,424.7121798,404.4607618,391.5394419,391.5615389
03/01/2023 05:00,4234,163.6,3486,951,2.966666667,185,12.2,75.45,408.4073007,425.0125811,424.2121798,402.4607618,395.2894419,395.0615389
03/01/2023 06:00,45775,367.74,13412,2769,4.516666667,189.5,12.85,75.1,405.8073007,414.5125811,425.2121798,399.9607618,400.2894419,389.0615389
03/01/2023 07:00,43230,279.14,11212,5570,4.966666667,187.3333333,13.45,74.35,408.8573007,413.7625811,427.7121798,407.9607618,400.2894419,394.5615389
03/01/2023 08:00,43230,365.54,27686,5029,5.733333333,188,13.6,74.3,404.6073007,409.7625811,419.2121798,407.4607618,397.0394419,389.5615389
03/01/2023 09:00,0,0,0,3064,6.7,186.8333333,13.45,74.4,401.7573007,416.0125811,410.2121798,403.7107618,388.7894419,390.0615389
03/01/2023 10:00,0,0,0,3124,7.033333333,189.5,13.6,74.45,402.8073007,410.2625811,417.2121798,400.4607618,391.0394419,395.0615389
03/01/2023 11:00,0,0,0,3208,8.2,191.8333333,13.95,74.2,402.3073007,410.0125811,410.2121798,406.7107618,390.0394419,394.5615389
03/01/2023 12:00,0,0,0,3332,8.95,194,14.25,74.15,402.2573007,412.7625811,410.2121798,406.4607618,383.2894419,398.5615389
03/01/2023 13:00,0,0,0,3467,8.6,195.1666667,14.5,74.3,404.7573007,418.5125811,409.2121798,406.9607618,387.0394419,402.0615389
03/01/2023 14:00,19909,165,24000,3872,8.9,195.6666667,14.35,74.9,405.0573007,414.5125811,409.2121798,408.9607618,389.0394419,403.5615389
03/01/2023 15:00,19909,165,24000,4530,9.433333333,197.3333333,14.6,74.9,405.1073007,414.2625811,413.2121798,405.9607618,387.5394419,404.5615389
03/01/2023 16:00,11166,126.4,8600,5650,9.283333333,192.6666667,14.6,75.25,403.5573007,413.7625811,412.7121798,408.2107618,388.0394419,395.0615389
03/01/2023 17:00,11166,126.4,8600,5008,10.25,195.8333333,14.6,75.7,403.8073007,422.0125811,410.2121798,400.9607618,388.2894419,397.5615389
03/01/2023 18:00,11166,126.4,8600,2948,9.966666667,195.1666667,14.6,76.15,404.0073007,416.7625811,413.7121798,405.2107618,386.2894419,398.0615389
03/01/2023 19:00,0,0,0,1921,9.783333333,209.5,15,76.8,404.0573007,421.7625811,410.7121798,402.7107618,388.0394419,397.0615389
03/01/2023 20:00,0,0,0,1363,8.666666667,218.1666667,15.6,76.8,406.7073007,424.0125811,410.7121798,402.2107618,390.0394419,406.5615389
03/01/2023 21:00,0,0,0,1161,9.483333333,220.8333333,15.9,75.75,406.2573007,415.2625811,408.7121798,405.9607618,388.7894419,412.5615389
03/01/2023 22:00,57009,328.4,41760,1064,8.366666667,224.5,16.2,74.45,403.7073007,418.0125811,407.7121798,396.4607618,388.7894419,407.5615389
03/01/2023 23:00,57009,328.4,41760,544,8.833333333,224.5,15.8,74,404.2073007,415.5125811,411.7121798,404.7107618,382.5394419,406.5615389
04/01/2023 00:00,0,0,0,298,9.066666667,220.8333333,15.8,73.9,402.1573007,414.2625811,409.2121798,399.9607618,382.2894419,405.0615389
04/01/2023 01:00,0,0,0,188,8.883333333,219.3333333,15.9,74,402.6573007,416.5125811,407.7121798,399.7107618,382.2894419,407.0615389
04/01/2023 02:00,0,0,0,129,9.35,217,15.8,74.4,402.4573007,416.0125811,405.2121798,400.9607618,386.5394419,403.5615389
04/01/2023 03:00,0,0,0,126,10.11666667,219.8333333,15.65,75.75,404.0573007,420.5125811,407.7121798,400.7107618,383.7894419,407.5615389
04/01/2023 04:00,0,0,0,297,10.16666667,223.6666667,16.2,75.4,401.9573007,418.5125811,408.7121798,401.2107618,384.7894419,396.5615389
04/01/2023 05:00,0,0,0,979,10.25,223.8333333,16.2,75.35,403.3573007,418.2625811,408.2121798,399.7107618,381.5394419,409.0615389
04/01/2023 06:00,33909,294.14,32640,2692,9.683333333,226.8333333,16,76,405.4073007,420.0125811,414.2121798,405.7107618,387.5394419,399.5615389
04/01/2023 07:00,75657,478.44,75840,5531,10.53333333,230.1666667,15.85,76.45,409.8073007,431.7625811,412.2121798,408.7107618,391.7894419,404.5615389
04/01/2023 08:00,55748,204.14,9926,5935,9.366666667,228.6666667,16.15,76.05,408.0073007,423.5125811,413.2121798,405.2107618,390.0394419,408.0615389
04/01/2023 09:00,55748,313.44,51840,3444,7.416666667,228.1666667,16.4,75.3,405.9073007,418.2625811,413.2121798,403.7107618,389.2894419,405.0615389
04/01/2023 10:00,41748,184.3,43200,3038,6.666666667,227.5,16.5,74.4,402.2573007,409.0125811,403.7121798,405.4607618,382.0394419,411.0615389
04/01/2023 11:00,41748,184.3,43200,3162,8.016666667,229.6666667,16.6,73.45,404.2073007,407.5125811,407.2121798,409.2107618,382.0394419,415.0615389
04/01/2023 12:00,41748,184.3,43200,3371,8.45,234.1666667,16.6,72.25,401.1573007,405.0125811,404.7121798,406.7107618,384.2894419,405.0615389
04/01/2023 13:00,69289,345.7,60960,3700,8.883333333,234.1666667,16.6,72,402.7073007,403.5125811,406.2121798,408.9607618,386.2894419,408.5615389
04/01/2023 14:00,69289,345.7,60960,4047,9.2,233.6666667,16.05,72,401.9573007,402.5125811,408.2121798,405.9607618,389.5394419,403.5615389
04/01/2023 15:00,41748,184.3,43200,4507,8.65,236,15.6,72.25,402.3573007,398.7625811,409.7121798,406.7107618,389.0394419,407.5615389
04/01/2023 16:00,41748,184.3,43200,6013,7.833333333,236.3333333,15.4,73.45,402.1073007,402.2625811,408.7121798,409.9607618,388.5394419,401.0615389
04/01/2023 17:00,52914,310.7,51800,5368,7.45,232.6666667,15,74.1,403.8073007,407.2625811,410.7121798,412.2107618,384.7894419,404.0615389
04/01/2023 18:00,52914,310.7,51800,3337,7.05,234.3333333,14.8,74.2,405.1573007,410.7625811,414.2121798,409.2107618,384.5394419,407.0615389
